ENSG00000148384.13	INPP5E
ENSG00000138326.21	RPS24
ENSG00000171467.16	ZNF318
ENSG00000158987.21	RAPGEF6
ENSG00000184232.9	OAF
ENSG00000185475.11	TMEM179B
ENSG00000127463.15	EMC1
ENSG00000174348.14	PODN
ENSG00000198788.8	MUC2
ENSG00000151929.10	BAG3
ENSG00000256870.3	SLC5A8
ENSG00000189306.11	RRP7A
ENSG00000186815.12	TPCN1
ENSG00000054803.4	CBLN4
ENSG00000106305.10	AIMP2
ENSG00000153339.14	TRAPPC8
ENSG00000123146.20	ADGRE5
ENSG00000188582.10	PAQR9
ENSG00000011083.9	SLC6A7
ENSG00000125089.17	SH3TC1
ENSG00000164691.18	TAGAP
ENSG00000102445.18	RUBCNL
ENSG00000101222.12	SPEF1
ENSG00000150961.15	SEC24D
ENSG00000164609.10	SLU7
ENSG00000101158.15	NELFCD
ENSG00000104880.18	ARHGEF18
ENSG00000131473.17	ACLY
ENSG00000147586.10	MRPS28
ENSG00000162129.14	CLPB
ENSG00000108561.8	C1QBP
ENSG00000124191.18	TOX2
ENSG00000151835.16	SACS
ENSG00000205356.10	TECPR1
ENSG00000105483.18	CARD8
ENSG00000124313.16	IQSEC2
ENSG00000235750.10	KIAA0040
ENSG00000116984.13	MTR
ENSG00000135930.14	EIF4E2
ENSG00000137764.20	MAP2K5
ENSG00000014257.16	ACPP
ENSG00000169242.12	EFNA1
ENSG00000171763.20	SPATA5L1
ENSG00000163125.15	RPRD2
ENSG00000188352.12	FOCAD
ENSG00000169224.13	GCSAML
ENSG00000196396.10	PTPN1
ENSG00000257335.8	MGAM
ENSG00000124140.14	SLC12A5
ENSG00000103740.10	ACSBG1
ENSG00000044115.21	CTNNA1
ENSG00000084463.8	WBP11
ENSG00000170881.5	RNF139
ENSG00000119943.13	PYROXD2
ENSG00000133597.11	ADCK2
ENSG00000157916.20	RER1
ENSG00000160336.15	ZNF761
ENSG00000182919.14	C11orf54
ENSG00000116213.16	WRAP73
ENSG00000176101.12	SSNA1
ENSG00000171105.14	INSR
ENSG00000174720.16	LARP7
ENSG00000177694.16	NAALADL2
ENSG00000129084.17	PSMA1
ENSG00000141424.13	SLC39A6
ENSG00000132716.19	DCAF8
ENSG00000130305.17	NSUN5
ENSG00000130517.14	PGPEP1
ENSG00000113595.15	TRIM23
ENSG00000163564.15	PYHIN1
ENSG00000145337.5	PYURF
ENSG00000139631.18	CSAD
ENSG00000174013.8	FBXO45
ENSG00000184792.16	OSBP2
ENSG00000102221.14	JADE3
ENSG00000049769.14	PPP1R3F
ENSG00000163520.14	FBLN2
ENSG00000148335.14	NTMT1
ENSG00000102710.20	SUPT20H
ENSG00000197629.6	MPEG1
ENSG00000172935.9	MRGPRF
ENSG00000241878.11	PISD
ENSG00000133789.15	SWAP70
ENSG00000103313.12	MEFV
ENSG00000126070.20	AGO3
ENSG00000204366.4	ZBTB12
ENSG00000211663.2	IGLV3-19
ENSG00000169057.23	MECP2
ENSG00000165359.15	INTS6L
ENSG00000178028.14	DMAP1
ENSG00000138594.14	TMOD3
ENSG00000153815.16	CMIP
ENSG00000111215.12	PRR4
ENSG00000132024.17	CC2D1A
ENSG00000162924.15	REL
ENSG00000266964.5	FXYD1
ENSG00000137494.14	ANKRD42
ENSG00000103489.12	XYLT1
ENSG00000125618.17	PAX8
ENSG00000130764.10	LRRC47
ENSG00000133317.15	LGALS12
ENSG00000187775.17	DNAH17
ENSG00000126254.12	RBM42
ENSG00000112079.9	STK38
ENSG00000221963.6	APOL6
ENSG00000141655.17	TNFRSF11A
ENSG00000168066.20	SF1
ENSG00000239887.6	C1orf226
ENSG00000125846.15	ZNF133
ENSG00000168067.12	MAP4K2
ENSG00000115520.8	COQ10B
ENSG00000127324.9	TSPAN8
ENSG00000087299.12	L2HGDH
ENSG00000107864.15	CPEB3
ENSG00000145012.13	LPP
ENSG00000183621.15	ZNF438
ENSG00000183044.12	ABAT
ENSG00000198369.10	SPRED2
ENSG00000138075.14	ABCG5
ENSG00000111412.6	C12orf49
ENSG00000198561.15	CTNND1
ENSG00000156162.16	DPY19L4
ENSG00000163825.4	RTP3
ENSG00000138308.6	PLA2G12B
ENSG00000140406.4	TLNRD1
ENSG00000198759.12	EGFL6
ENSG00000140262.18	TCF12
ENSG00000165102.15	HGSNAT
ENSG00000166292.12	TMEM100
ENSG00000184524.6	CEND1
ENSG00000148948.8	LRRC4C
ENSG00000062038.14	CDH3
ENSG00000197614.11	MFAP5
ENSG00000132622.11	HSPA12B
ENSG00000137573.14	SULF1
ENSG00000125872.8	LRRN4
ENSG00000155761.14	SPAG17
ENSG00000108788.11	MLX
ENSG00000095932.7	SMIM24
ENSG00000116701.15	NCF2
ENSG00000198081.11	ZBTB14
ENSG00000006015.17	REX1BD
ENSG00000164929.17	BAALC
ENSG00000159884.12	CCDC107
ENSG00000122566.21	HNRNPA2B1
ENSG00000204370.12	SDHD
ENSG00000166016.6	ABTB2
ENSG00000170903.11	MSANTD4
ENSG00000168887.11	C2orf68
ENSG00000255112.3	CHMP1B
ENSG00000211592.8	IGKC
ENSG00000132329.11	RAMP1
ENSG00000168517.10	HEXIM2
ENSG00000173786.17	CNP
ENSG00000168959.14	GRM5
ENSG00000105329.10	TGFB1
ENSG00000054598.9	FOXC1
ENSG00000121690.11	DEPDC7
ENSG00000102699.6	PARP4
ENSG00000142396.10	ERVK3-1
ENSG00000102172.16	SMS
ENSG00000145734.19	BDP1
ENSG00000002330.13	BAD
ENSG00000135069.14	PSAT1
ENSG00000235106.10	BRD3OS
ENSG00000007923.16	DNAJC11
ENSG00000225968.7	ELFN1
ENSG00000179954.16	SSC5D
ENSG00000117394.23	SLC2A1
ENSG00000196712.18	NF1
ENSG00000082701.16	GSK3B
ENSG00000138668.19	HNRNPD
ENSG00000105737.9	GRIK5
ENSG00000100558.9	PLEK2
ENSG00000127946.17	HIP1
ENSG00000151065.14	DCP1B
ENSG00000170890.14	PLA2G1B
ENSG00000164107.8	HAND2
ENSG00000135472.9	FAIM2
ENSG00000106688.12	SLC1A1
ENSG00000267795.6	SMIM22
ENSG00000089199.10	CHGB
ENSG00000204673.10	AKT1S1
ENSG00000102900.13	NUP93
ENSG00000108651.10	UTP6
ENSG00000188895.12	MSL1
ENSG00000186281.12	GPAT2
ENSG00000112280.16	COL9A1
ENSG00000157106.17	SMG1
ENSG00000128923.11	MINDY2
ENSG00000137962.13	ARHGAP29
ENSG00000068903.20	SIRT2
ENSG00000197183.14	NOL4L
ENSG00000138180.16	CEP55
ENSG00000171357.6	LURAP1
ENSG00000136942.15	RPL35
ENSG00000106263.18	EIF3B
ENSG00000101605.13	MYOM1
ENSG00000145781.9	COMMD10
ENSG00000141682.12	PMAIP1
ENSG00000198799.12	LRIG2
ENSG00000120800.5	UTP20
ENSG00000161677.12	JOSD2
ENSG00000159210.10	SNF8
ENSG00000162631.18	NTNG1
ENSG00000111145.8	ELK3
ENSG00000111371.16	SLC38A1
ENSG00000184489.12	PTP4A3
ENSG00000092871.17	RFFL
ENSG00000131475.7	VPS25
ENSG00000158481.13	CD1C
ENSG00000181896.12	ZNF101
ENSG00000170464.10	DNAJC18
ENSG00000164591.13	MYOZ3
ENSG00000258227.7	CLEC5A
ENSG00000181915.5	ADO
ENSG00000010327.10	STAB1
ENSG00000102362.15	SYTL4
ENSG00000162885.13	B3GALNT2
ENSG00000136872.20	ALDOB
ENSG00000035928.16	RFC1
ENSG00000183337.17	BCOR
ENSG00000171960.11	PPIH
ENSG00000265491.5	RNF115
ENSG00000115138.11	POMC
ENSG00000122863.6	CHST3
ENSG00000169740.14	ZNF32
ENSG00000126432.14	PRDX5
ENSG00000178896.9	EXOSC4
ENSG00000151012.13	SLC7A11
ENSG00000122435.10	TRMT13
ENSG00000145247.12	OCIAD2
ENSG00000204271.13	SPIN3
ENSG00000164327.13	RICTOR
ENSG00000101160.14	CTSZ
ENSG00000115806.13	GORASP2
ENSG00000075711.21	DLG1
ENSG00000161618.10	ALDH16A1
ENSG00000081026.19	MAGI3
ENSG00000143167.12	GPA33
ENSG00000178078.11	STAP2
ENSG00000105974.12	CAV1
ENSG00000165983.14	PTER
ENSG00000101210.12	EEF1A2
ENSG00000129455.15	KLK8
ENSG00000137411.18	VARS2
ENSG00000163644.15	PPM1K
ENSG00000185627.18	PSMD13
ENSG00000197345.13	MRPL21
ENSG00000188385.12	JAKMIP3
ENSG00000079557.5	AFM
ENSG00000181690.8	PLAG1
ENSG00000147041.12	SYTL5
ENSG00000233670.7	PIRT
ENSG00000188917.15	TRMT2B
ENSG00000142634.13	EFHD2
ENSG00000151338.18	MIPOL1
ENSG00000178573.7	MAF
ENSG00000104228.13	TRIM35
ENSG00000002016.18	RAD52
ENSG00000171812.13	COL8A2
ENSG00000135736.6	CCDC102A
ENSG00000168038.11	ULK4
ENSG00000151849.15	CENPJ
ENSG00000063015.20	SEZ6
ENSG00000205581.11	HMGN1
ENSG00000006831.10	ADIPOR2
ENSG00000174132.9	FAM174A
ENSG00000256825.4	AC026786.1
ENSG00000100731.16	PCNX1
ENSG00000119862.13	LGALSL
ENSG00000125459.17	MSTO1
ENSG00000182158.15	CREB3L2
ENSG00000110245.12	APOC3
ENSG00000117682.17	DHDDS
ENSG00000145780.8	FEM1C
ENSG00000186951.16	PPARA
ENSG00000174227.16	PIGG
ENSG00000100084.14	HIRA
ENSG00000273540.4	AGBL1
ENSG00000265190.6	ANXA8
ENSG00000065427.14	KARS
ENSG00000023572.9	GLRX2
ENSG00000113296.14	THBS4
ENSG00000129460.16	NGDN
ENSG00000141696.13	P3H4
ENSG00000176533.13	GNG7
ENSG00000145476.16	CYP4V2
ENSG00000164976.9	MYORG
ENSG00000151224.13	MAT1A
ENSG00000136274.9	NACAD
ENSG00000143627.19	PKLR
ENSG00000107669.17	ATE1
ENSG00000090621.14	PABPC4
ENSG00000142186.17	SCYL1
ENSG00000128394.17	APOBEC3F
ENSG00000131471.7	AOC3
ENSG00000221867.9	MAGEA3
ENSG00000129518.9	EAPP
ENSG00000165527.7	ARF6
ENSG00000204815.10	TTC25
ENSG00000115163.15	CENPA
ENSG00000078081.8	LAMP3
ENSG00000129055.12	ANAPC13
ENSG00000114270.17	COL7A1
ENSG00000132256.19	TRIM5
ENSG00000141506.13	PIK3R5
ENSG00000198464.14	ZNF480
ENSG00000153714.6	LURAP1L
ENSG00000007952.18	NOX1
ENSG00000081181.8	ARG2
ENSG00000143374.17	TARS2
ENSG00000215012.9	RTL10
ENSG00000115486.12	GGCX
ENSG00000148123.15	PLPPR1
ENSG00000223648.4	IGHV3-64
ENSG00000155254.13	MARVELD1
ENSG00000166974.13	MAPRE2
ENSG00000186510.12	CLCNKA
ENSG00000198729.5	PPP1R14C
ENSG00000187994.14	RINL
ENSG00000119522.16	DENND1A
ENSG00000137460.8	FHDC1
ENSG00000122787.15	AKR1D1
ENSG00000203857.10	HSD3B1
ENSG00000125844.16	RRBP1
ENSG00000164414.18	SLC35A1
ENSG00000172301.11	COPRS
ENSG00000149084.13	HSD17B12
ENSG00000171320.15	ESCO2
ENSG00000214827.11	MTCP1
ENSG00000121989.15	ACVR2A
ENSG00000178665.16	ZNF713
ENSG00000180210.15	F2
ENSG00000198346.11	ZNF813
ENSG00000089057.15	SLC23A2
ENSG00000196507.11	TCEAL3
ENSG00000186088.16	GSAP
ENSG00000169474.4	SPRR1A
ENSG00000070444.15	MNT
ENSG00000196666.5	FAM180B
ENSG00000122882.11	ECD
ENSG00000171988.19	JMJD1C
ENSG00000155304.6	HSPA13
ENSG00000118307.19	CASC1
ENSG00000187098.15	MITF
ENSG00000065150.21	IPO5
ENSG00000085978.22	ATG16L1
ENSG00000156304.15	SCAF4
ENSG00000240771.8	ARHGEF25
ENSG00000164096.13	C4orf3
ENSG00000160049.12	DFFA
ENSG00000176974.20	SHMT1
ENSG00000128524.5	ATP6V1F
ENSG00000109158.11	GABRA4
ENSG00000050327.15	ARHGEF5
ENSG00000063245.15	EPN1
ENSG00000197586.13	ENTPD6
ENSG00000184675.11	AMER1
ENSG00000176715.17	ACSF3
ENSG00000116161.18	CACYBP
ENSG00000178209.15	PLEC
ENSG00000100294.13	MCAT
ENSG00000169282.17	KCNAB1
ENSG00000225110.3	PNMA6F
ENSG00000122033.14	MTIF3
ENSG00000117834.12	SLC5A9
ENSG00000134809.9	TIMM10
ENSG00000149806.11	FAU
ENSG00000189114.8	BLOC1S3
ENSG00000163995.20	ABLIM2
ENSG00000125848.10	FLRT3
ENSG00000164610.9	RP9
ENSG00000116661.11	FBXO2
ENSG00000070061.15	ELP1
ENSG00000166004.15	CEP295
ENSG00000169126.16	ARMC4
ENSG00000214595.12	EML6
ENSG00000198932.13	GPRASP1
ENSG00000241058.4	NSUN6
ENSG00000144893.12	MED12L
ENSG00000173681.16	BCLAF3
ENSG00000198814.12	GK
ENSG00000128805.14	ARHGAP22
ENSG00000135093.13	USP30
ENSG00000167264.18	DUS2
ENSG00000146063.20	TRIM41
ENSG00000091527.15	CDV3
ENSG00000136247.14	ZDHHC4
ENSG00000242612.7	DECR2
ENSG00000107201.10	DDX58
ENSG00000070950.10	RAD18
ENSG00000171236.10	LRG1
ENSG00000168065.16	SLC22A11
ENSG00000110427.16	KIAA1549L
ENSG00000135373.12	EHF
ENSG00000176261.15	ZBTB8OS
ENSG00000164181.14	ELOVL7
ENSG00000156009.10	MAGEA8
ENSG00000123472.12	ATPAF1
ENSG00000179832.17	MROH1
ENSG00000176438.12	SYNE3
ENSG00000171431.4	KRT20
ENSG00000160688.19	FLAD1
ENSG00000144460.12	NYAP2
ENSG00000135315.12	CEP162
ENSG00000172977.13	KAT5
ENSG00000174547.13	MRPL11
ENSG00000128699.14	ORMDL1
ENSG00000170893.4	TRH
ENSG00000166788.10	SAAL1
ENSG00000146966.13	DENND2A
ENSG00000138193.15	PLCE1
ENSG00000160783.19	PMF1
ENSG00000102870.6	ZNF629
ENSG00000022355.18	GABRA1
ENSG00000178764.8	ZHX2
ENSG00000145779.8	TNFAIP8
ENSG00000170222.12	ADPRM
ENSG00000173660.12	UQCRH
ENSG00000198198.17	SZT2
ENSG00000172322.14	CLEC12A
ENSG00000101266.19	CSNK2A1
ENSG00000204120.15	GIGYF2
ENSG00000185900.10	POMK
ENSG00000278053.5	DDX52
ENSG00000009694.13	TENM1
ENSG00000116120.11	FARSB
ENSG00000143190.23	POU2F1
ENSG00000181333.12	HEPHL1
ENSG00000108846.16	ABCC3
ENSG00000167971.16	CASKIN1
ENSG00000165506.14	DNAAF2
ENSG00000117597.18	DIEXF
ENSG00000130775.16	THEMIS2
ENSG00000127418.15	FGFRL1
ENSG00000088038.19	CNOT3
ENSG00000155893.13	PXYLP1
ENSG00000140259.7	MFAP1
ENSG00000179163.11	FUCA1
ENSG00000162897.16	FCAMR
ENSG00000175003.15	SLC22A1
ENSG00000174514.13	MFSD4A
ENSG00000186297.12	GABRA5
ENSG00000196415.10	PRTN3
ENSG00000170540.15	ARL6IP1
ENSG00000136147.18	PHF11
ENSG00000014919.13	COX15
ENSG00000077943.8	ITGA8
ENSG00000188060.7	RAB42
ENSG00000147274.14	RBMX
ENSG00000213625.9	LEPROT
ENSG00000162604.12	TM2D1
ENSG00000065413.20	ANKRD44
ENSG00000120256.11	LRP11
ENSG00000142544.7	CTU1
ENSG00000183955.13	KMT5A
ENSG00000187416.12	LHFPL3
ENSG00000059378.13	PARP12
ENSG00000089225.20	TBX5
ENSG00000151715.8	TMEM45B
ENSG00000087087.20	SRRT
ENSG00000163681.16	SLMAP
ENSG00000175634.15	RPS6KB2
ENSG00000228300.14	C19orf24
ENSG00000115464.15	USP34
ENSG00000109756.9	RAPGEF2
ENSG00000140497.16	SCAMP2
ENSG00000134308.14	YWHAQ
ENSG00000215644.10	GCGR
ENSG00000243156.9	MICAL3
ENSG00000109062.12	SLC9A3R1
ENSG00000163399.16	ATP1A1
ENSG00000143702.16	CEP170
ENSG00000163521.16	GLB1L
ENSG00000152127.9	MGAT5
ENSG00000136874.11	STX17
ENSG00000143952.20	VPS54
ENSG00000179151.13	EDC3
ENSG00000128594.8	LRRC4
ENSG00000155093.19	PTPRN2
ENSG00000120054.12	CPN1
ENSG00000082515.18	MRPL22
ENSG00000154845.15	PPP4R1
ENSG00000172809.13	RPL38
ENSG00000188687.17	SLC4A5
ENSG00000148143.13	ZNF462
ENSG00000105677.12	TMEM147
ENSG00000113719.16	ERGIC1
ENSG00000124145.6	SDC4
ENSG00000131203.13	IDO1
ENSG00000121390.19	PSPC1
ENSG00000101746.15	NOL4
ENSG00000105854.13	PON2
ENSG00000135111.16	TBX3
ENSG00000197063.11	MAFG
ENSG00000188015.10	S100A3
ENSG00000133641.18	C12orf29
ENSG00000131848.9	ZSCAN5A
ENSG00000016490.16	CLCA1
ENSG00000151320.11	AKAP6
ENSG00000124535.16	WRNIP1
ENSG00000163877.11	SNIP1
ENSG00000124225.16	PMEPA1
ENSG00000152213.4	ARL11
ENSG00000055130.17	CUL1
ENSG00000150990.8	DHX37
ENSG00000101898.6	MCTS2P
ENSG00000188994.13	ZNF292
ENSG00000143797.12	MBOAT2
ENSG00000077684.16	JADE1
ENSG00000073756.12	PTGS2
ENSG00000159352.16	PSMD4
ENSG00000004487.17	KDM1A
ENSG00000120539.15	MASTL
ENSG00000167447.12	SMG8
ENSG00000213578.6	CPLX3
ENSG00000102978.13	POLR2C
ENSG00000136940.14	PDCL
ENSG00000174607.11	UGT8
ENSG00000163485.17	ADORA1
ENSG00000134046.12	MBD2
ENSG00000039123.16	MTREX
ENSG00000149927.18	DOC2A
ENSG00000176049.16	JAKMIP2
ENSG00000070269.14	TMEM260
ENSG00000106991.13	ENG
ENSG00000198900.6	TOP1
ENSG00000131831.18	RAI2
ENSG00000055211.14	GINM1
ENSG00000116044.16	NFE2L2
ENSG00000176771.17	NCKAP5
ENSG00000076770.14	MBNL3
ENSG00000080200.10	CRYBG3
ENSG00000196411.10	EPHB4
ENSG00000160808.11	MYL3
ENSG00000113838.13	TBCCD1
ENSG00000105926.15	MPP6
ENSG00000139044.12	B4GALNT3
ENSG00000135387.21	CAPRIN1
ENSG00000167987.11	VPS37C
ENSG00000211452.11	DIO1
ENSG00000198182.13	ZNF607
ENSG00000184999.12	SLC22A10
ENSG00000276293.4	PIP4K2B
ENSG00000102409.10	BEX4
ENSG00000155959.12	VBP1
ENSG00000169252.5	ADRB2
ENSG00000100280.16	AP1B1
ENSG00000136944.19	LMX1B
ENSG00000101333.16	PLCB4
ENSG00000181090.21	EHMT1
ENSG00000134443.10	GRP
ENSG00000172432.19	GTPBP2
ENSG00000138032.21	PPM1B
ENSG00000159267.14	HLCS
ENSG00000173369.16	C1QB
ENSG00000112855.17	HARS2
ENSG00000124813.23	RUNX2
ENSG00000105341.18	DMAC2
ENSG00000169727.12	GPS1
ENSG00000137941.17	TTLL7
ENSG00000100575.14	TIMM9
ENSG00000177453.7	NIM1K
ENSG00000197498.13	RPF2
ENSG00000204381.11	LAYN
ENSG00000058729.11	RIOK2
ENSG00000132153.15	DHX30
ENSG00000189308.11	LIN54
ENSG00000104375.17	STK3
ENSG00000090487.11	SPG21
ENSG00000137040.10	RANBP6
ENSG00000116478.12	HDAC1
ENSG00000198522.14	GPN1
ENSG00000088986.11	DYNLL1
ENSG00000154856.13	APCDD1
ENSG00000175470.20	PPP2R2D
ENSG00000283787.1	AC051649.2
ENSG00000168589.15	DYNLRB2
ENSG00000198771.11	RCSD1
ENSG00000188338.15	SLC38A3
ENSG00000170921.15	TANC2
ENSG00000115602.17	IL1RL1
ENSG00000131652.14	THOC6
ENSG00000159899.14	NPR2
ENSG00000146067.16	FAM193B
ENSG00000105289.15	TJP3
ENSG00000168876.9	ANKRD49
ENSG00000254996.5	ANKHD1-EIF4EBP3
ENSG00000122641.11	INHBA
ENSG00000070371.16	CLTCL1
ENSG00000206177.7	HBM
ENSG00000242372.8	EIF6
ENSG00000109846.9	CRYAB
ENSG00000196834.12	POTEI
ENSG00000070778.13	PTPN21
ENSG00000151364.17	KCTD14
ENSG00000211658.2	IGLV3-27
ENSG00000108578.15	BLMH
ENSG00000111845.5	PAK1IP1
ENSG00000133835.17	HSD17B4
ENSG00000196141.14	SPATS2L
ENSG00000196504.18	PRPF40A
ENSG00000184661.14	CDCA2
ENSG00000185448.10	FAM47A
ENSG00000107874.11	CUEDC2
ENSG00000171174.15	RBKS
ENSG00000188042.8	ARL4C
ENSG00000120149.9	MSX2
ENSG00000108389.9	MTMR4
ENSG00000165323.15	FAT3
ENSG00000082438.17	COBLL1
ENSG00000160460.16	SPTBN4
ENSG00000092199.17	HNRNPC
ENSG00000004776.13	HSPB6
ENSG00000197530.12	MIB2
ENSG00000163872.16	YEATS2
ENSG00000160932.11	LY6E
ENSG00000116350.17	SRSF4
ENSG00000148229.13	POLE3
ENSG00000131023.13	LATS1
ENSG00000196914.9	ARHGEF12
ENSG00000105726.17	ATP13A1
ENSG00000092010.15	PSME1
ENSG00000118418.14	HMGN3
ENSG00000123219.13	CENPK
ENSG00000151131.11	C12orf45
ENSG00000134802.17	SLC43A3
ENSG00000176890.16	TYMS
ENSG00000170484.10	KRT74
ENSG00000134962.7	KLB
ENSG00000175224.16	ATG13
ENSG00000105137.13	SYDE1
ENSG00000101251.12	SEL1L2
ENSG00000114446.5	IFT57
ENSG00000134780.10	DAGLA
ENSG00000100197.22	CYP2D6
ENSG00000162877.13	PM20D1
ENSG00000078967.13	UBE2D4
ENSG00000170430.10	MGMT
ENSG00000118181.11	RPS25
ENSG00000211898.7	IGHD
ENSG00000129472.15	RAB2B
ENSG00000107719.9	PALD1
ENSG00000110400.11	NECTIN1
ENSG00000123131.13	PRDX4
ENSG00000158859.10	ADAMTS4
ENSG00000184060.11	ADAP2
ENSG00000135643.5	KCNMB4
ENSG00000174460.4	ZCCHC12
ENSG00000115307.17	AUP1
ENSG00000185670.9	ZBTB3
ENSG00000136319.12	TTC5
ENSG00000198498.10	TMA16
ENSG00000158019.20	BABAM2
ENSG00000104218.14	CSPP1
ENSG00000183607.10	GKN2
ENSG00000055070.17	SZRD1
ENSG00000100473.18	COCH
ENSG00000256525.8	POLG2
ENSG00000139329.5	LUM
ENSG00000109805.10	NCAPG
ENSG00000148296.7	SURF6
ENSG00000130713.16	EXOSC2
ENSG00000153395.10	LPCAT1
ENSG00000158023.10	WDR66
ENSG00000042980.13	ADAM28
ENSG00000129235.11	TXNDC17
ENSG00000147475.17	ERLIN2
ENSG00000172794.20	RAB37
ENSG00000166482.12	MFAP4
ENSG00000234745.11	HLA-B
ENSG00000215009.5	ACSM4
ENSG00000167619.13	TMEM145
ENSG00000123562.17	MORF4L2
ENSG00000211682.2	IGLJ6
ENSG00000149582.16	TMEM25
ENSG00000077232.18	DNAJC10
ENSG00000143443.10	C1orf56
ENSG00000169710.9	FASN
ENSG00000176842.15	IRX5
ENSG00000196220.16	SRGAP3
ENSG00000147123.10	NDUFB11
ENSG00000155265.11	GOLGA7B
ENSG00000003249.14	DBNDD1
ENSG00000148400.12	NOTCH1
ENSG00000046774.10	MAGEC2
ENSG00000078900.15	TP73
ENSG00000135525.18	MAP7
ENSG00000186166.9	CCDC84
ENSG00000229809.8	ZNF688
ENSG00000038382.20	TRIO
ENSG00000185442.13	FAM174B
ENSG00000154252.12	GAL3ST2
ENSG00000125249.7	RAP2A
ENSG00000106560.11	GIMAP2
ENSG00000264424.1	MYH4
ENSG00000110066.15	KMT5B
ENSG00000120029.13	C10orf76
ENSG00000130024.15	PHF10
ENSG00000128713.14	HOXD11
ENSG00000141551.14	CSNK1D
ENSG00000100321.15	SYNGR1
ENSG00000187164.20	SHTN1
ENSG00000165478.7	HEPACAM
ENSG00000123505.18	AMD1
ENSG00000214357.9	NEURL1B
ENSG00000185215.10	TNFAIP2
ENSG00000123191.16	ATP7B
ENSG00000100417.12	PMM1
ENSG00000169504.15	CLIC4
ENSG00000163286.9	ALPPL2
ENSG00000134461.16	ANKRD16
ENSG00000178096.9	BOLA1
ENSG00000116604.18	MEF2D
ENSG00000262406.3	MMP12
ENSG00000261609.7	GAN
ENSG00000176393.11	RNPEP
ENSG00000157570.12	TSPAN18
ENSG00000142632.17	ARHGEF19
ENSG00000113141.18	IK
ENSG00000107518.18	ATRNL1
ENSG00000128408.9	RIBC2
ENSG00000042062.13	RIPOR3
ENSG00000213930.12	GALT
ENSG00000167851.15	CD300A
ENSG00000023909.10	GCLM
ENSG00000128335.14	APOL2
ENSG00000151445.16	VIPAS39
ENSG00000133816.15	MICAL2
ENSG00000152413.15	HOMER1
ENSG00000105639.19	JAK3
ENSG00000122970.16	IFT81
ENSG00000126500.3	FLRT1
ENSG00000120837.8	NFYB
ENSG00000213762.12	ZNF134
ENSG00000120658.13	ENOX1
ENSG00000168916.15	ZNF608
ENSG00000182871.16	COL18A1
ENSG00000124198.9	ARFGEF2
ENSG00000085185.15	BCORL1
ENSG00000173214.7	MFSD4B
ENSG00000204859.13	ZBTB48
ENSG00000212900.3	KRTAP3-2
ENSG00000069248.12	NUP133
ENSG00000186792.17	HYAL3
ENSG00000170231.16	FABP6
ENSG00000068137.15	PLEKHH3
ENSG00000115221.12	ITGB6
ENSG00000188306.6	LRRIQ4
ENSG00000081320.11	STK17B
ENSG00000127824.14	TUBA4A
ENSG00000136541.14	ERMN
ENSG00000120696.9	KBTBD7
ENSG00000146426.18	TIAM2
ENSG00000151690.15	MFSD6
ENSG00000183914.14	DNAH2
ENSG00000002933.9	TMEM176A
ENSG00000099331.13	MYO9B
ENSG00000126012.12	KDM5C
ENSG00000173273.16	TNKS
ENSG00000120910.14	PPP3CC
ENSG00000148290.10	SURF1
ENSG00000151365.2	THRSP
ENSG00000168591.16	TMUB2
ENSG00000167780.12	SOAT2
ENSG00000064313.12	TAF2
ENSG00000262919.8	CCNQ
ENSG00000047597.7	XK
ENSG00000113194.13	FAF2
ENSG00000066294.15	CD84
ENSG00000182541.18	LIMK2
ENSG00000188403.7	IGHV1OR15-9
ENSG00000162236.12	STX5
ENSG00000168000.14	BSCL2
ENSG00000137747.16	TMPRSS13
ENSG00000134748.13	PRPF38A
ENSG00000120868.14	APAF1
ENSG00000043039.7	BARX2
ENSG00000106344.8	RBM28
ENSG00000197430.11	OPALIN
ENSG00000175455.15	CCDC14
ENSG00000151882.11	CCL28
ENSG00000162961.14	DPY30
ENSG00000197471.12	SPN
ENSG00000172345.14	STARD5
ENSG00000104883.8	PEX11G
ENSG00000162598.13	C1orf87
ENSG00000184730.11	APOBR
ENSG00000105298.14	CACTIN
ENSG00000127837.9	AAMP
ENSG00000104722.14	NEFM
ENSG00000169851.15	PCDH7
ENSG00000132300.19	PTCD3
ENSG00000211644.3	IGLV1-51
ENSG00000271303.2	SRXN1
ENSG00000124920.13	MYRF
ENSG00000137221.14	TJAP1
ENSG00000092295.12	TGM1
ENSG00000198589.14	LRBA
ENSG00000104154.7	SLC30A4
ENSG00000166501.14	PRKCB
ENSG00000115616.3	SLC9A2
ENSG00000174992.8	ZG16
ENSG00000124713.6	GNMT
ENSG00000109832.14	DDX25
ENSG00000109684.15	CLNK
ENSG00000138756.17	BMP2K
ENSG00000103150.7	MLYCD
ENSG00000108826.16	MRPL27
ENSG00000107929.15	LARP4B
ENSG00000180096.12	SEPT1
ENSG00000171681.12	ATF7IP
ENSG00000168246.6	UBTD2
ENSG00000103042.9	SLC38A7
ENSG00000163104.17	SMARCAD1
ENSG00000076201.15	PTPN23
ENSG00000104825.17	NFKBIB
ENSG00000185418.16	TARSL2
ENSG00000034152.19	MAP2K3
ENSG00000165072.10	MAMDC2
ENSG00000137269.15	LRRC1
ENSG00000117500.13	TMED5
ENSG00000172840.7	PDP2
ENSG00000121274.13	PAPD5
ENSG00000176692.8	FOXC2
