From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q06945	Q06945	reviewed	SOX4_HUMAN	Transcription factor SOX-4	SOX4	Homo sapiens (Human)	474
Q07002	Q07002	reviewed	CDK18_HUMAN	Cyclin-dependent kinase 18, EC 2.7.11.22 (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)	474
Q07020	Q07020	reviewed	RL18_HUMAN	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18	Homo sapiens (Human)	188
Q07021	Q07021	reviewed	C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP, C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33, SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282
Q07065	Q07065	reviewed	CKAP4_HUMAN	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein, Climp-63, p63)	CKAP4	Homo sapiens (Human)	602
Q07092	Q07092	reviewed	COGA1_HUMAN	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604
Q07108	Q07108	reviewed	CD69_HUMAN	Early activation antigen CD69 (Activation inducer molecule, AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69)	CD69 CLEC2C	Homo sapiens (Human)	199
Q07157	Q07157	reviewed	ZO1_HUMAN	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	Homo sapiens (Human)	1748
Q07343	Q07343	reviewed	PDE4B_HUMAN	cAMP-specific 3',5'-cyclic phosphodiesterase 4B, EC 3.1.4.53 (DPDE4) (PDE32)	PDE4B DPDE4	Homo sapiens (Human)	736
Q07352	Q07352	reviewed	TISB_HUMAN	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1, ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1, ZFP36-like 1)	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	Homo sapiens (Human)	338
Q07617	Q07617	reviewed	SPAG1_HUMAN	Sperm-associated antigen 1 (HSD-3.8) (Infertility-related sperm protein Spag-1)	SPAG1	Homo sapiens (Human)	926
Q07666	Q07666	reviewed	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein, Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443
Q07687	Q07687	reviewed	DLX2_HUMAN	Homeobox protein DLX-2	DLX2	Homo sapiens (Human)	328
Q07820	Q07820	reviewed	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3, Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	Homo sapiens (Human)	350
Q07864	Q07864	reviewed	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A, EC 2.7.7.7 (3'-5' exodeoxyribonuclease, EC 3.1.11.-) (DNA polymerase II subunit A)	POLE POLE1	Homo sapiens (Human)	2286
Q07866	Q07866	reviewed	KLC1_HUMAN	Kinesin light chain 1, KLC 1	KLC1 KLC KNS2	Homo sapiens (Human)	573
Q07889	Q07889	reviewed	SOS1_HUMAN	Son of sevenless homolog 1, SOS-1	SOS1	Homo sapiens (Human)	1333
Q07890	Q07890	reviewed	SOS2_HUMAN	Son of sevenless homolog 2, SOS-2	SOS2	Homo sapiens (Human)	1332
Q07912	Q07912	reviewed	ACK1_HUMAN	Activated CDC42 kinase 1, ACK-1, EC 2.7.10.2, EC 2.7.11.1 (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	1038
Q07955	Q07955	reviewed	SRSF1_HUMAN	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1, ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
Q07960	Q07960	reviewed	RHG01_HUMAN	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	Homo sapiens (Human)	439
Q08043	Q08043	reviewed	ACTN3_HUMAN	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	ACTN3	Homo sapiens (Human)	901
Q08050	Q08050	reviewed	FOXM1_HUMAN	Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11, HFH-11, HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells)	FOXM1 FKHL16 HFH11 MPP2 WIN	Homo sapiens (Human)	763
Q08117	Q08117	reviewed	TLE5_HUMAN	TLE family member 5 (Amino-terminal enhancer of split, Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG) (TLE family member 5, transcriptional modulator)	TLE5 AES GRG GRG5	Homo sapiens (Human)	197
Q08170	Q08170	reviewed	SRSF4_HUMAN	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
Q08174	Q08174	reviewed	PCDH1_HUMAN	Protocadherin-1 (Cadherin-like protein 1) (Protocadherin-42, PC42)	PCDH1	Homo sapiens (Human)	1060
Q08209	Q08209	reviewed	PP2BA_HUMAN	Protein phosphatase 3 catalytic subunit alpha, EC 3.1.3.16 (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform, CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	521
Q08211	Q08211	reviewed	DHX9_HUMAN	ATP-dependent RNA helicase A, EC 3.6.4.13 (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin, LKP) (Nuclear DNA helicase II, NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
Q08289	Q08289	reviewed	CACB2_HUMAN	Voltage-dependent L-type calcium channel subunit beta-2, CAB2 (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B, MYSB)	CACNB2 CACNLB2 MYSB	Homo sapiens (Human)	660
Q08357	Q08357	reviewed	S20A2_HUMAN	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2, GLVR-2) (Phosphate transporter 2, PiT-2, Pit2, hPit2) (Solute carrier family 20 member 2)	SLC20A2 GLVR2 PIT2	Homo sapiens (Human)	652
Q08378	Q08378	reviewed	GOGA3_HUMAN	Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa, GCP170) (Golgin-160)	GOLGA3	Homo sapiens (Human)	1498
Q08379	Q08379	reviewed	GOGA2_HUMAN	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein, GM130) (GM130 autoantigen) (Golgin-95)	GOLGA2	Homo sapiens (Human)	1002
Q08426	Q08426	reviewed	ECHP_HUMAN	Peroxisomal bifunctional enzyme, PBE, PBFE (L-bifunctional protein, LBP) (Multifunctional enzyme 1, MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase, EC 4.2.1.17, EC 5.3.3.8; 3-hydroxyacyl-CoA dehydrogenase, EC 1.1.1.35 ]	EHHADH ECHD	Homo sapiens (Human)	723
Q08431	Q08431	reviewed	MFGM_HUMAN	Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8, MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin ]	MFGE8	Homo sapiens (Human)	387
Q08462	Q08462	reviewed	ADCY2_HUMAN	Adenylate cyclase type 2, EC 4.6.1.1 (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	ADCY2 KIAA1060	Homo sapiens (Human)	1091
Q08477	Q08477	reviewed	CP4F3_HUMAN	Cytochrome P450 4F3, EC 1.14.14.1 (20-hydroxyeicosatetraenoic acid synthase, 20-HETE synthase) (CYPIVF3) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase CYP4F3, EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 2) (Leukotriene-B(4) omega-hydroxylase 2, EC 1.14.14.94)	CYP4F3 LTB4H	Homo sapiens (Human)	520
Q08495	Q08495	reviewed	DEMA_HUMAN	Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9)	DMTN DMT EPB49	Homo sapiens (Human)	405
Q08499	Q08499	reviewed	PDE4D_HUMAN	cAMP-specific 3',5'-cyclic phosphodiesterase 4D, EC 3.1.4.53 (DPDE3) (PDE43)	PDE4D DPDE3	Homo sapiens (Human)	809
Q08752	Q08752	reviewed	PPID_HUMAN	Peptidyl-prolyl cis-trans isomerase D, PPIase D, EC 5.2.1.8 (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40, CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD	Homo sapiens (Human)	370
Q08881	Q08881	reviewed	ITK_HUMAN	Tyrosine-protein kinase ITK/TSK, EC 2.7.10.2 (Interleukin-2-inducible T-cell kinase, IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)	620
Q08945	Q08945	reviewed	SSRP1_HUMAN	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit, FACT 80 kDa subunit, FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1, hSSRP1) (T160)	SSRP1 FACT80	Homo sapiens (Human)	709
Q08999	Q08999	reviewed	RBL2_HUMAN	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein, p130) (Retinoblastoma-related protein 2, RBR-2) (pRb2)	RBL2 RB2	Homo sapiens (Human)	1139
Q08AD1	Q08AD1	reviewed	CAMP2_HUMAN	Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1)	CAMSAP2 CAMSAP1L1 KIAA1078	Homo sapiens (Human)	1489
Q08AE8	Q08AE8	reviewed	SPIR1_HUMAN	Protein spire homolog 1, Spir-1	SPIRE1 KIAA1135 SPIR1	Homo sapiens (Human)	756
Q08AM6	Q08AM6	reviewed	VAC14_HUMAN	Protein VAC14 homolog (Tax1-binding protein 2)	VAC14 TAX1BP2 TRX	Homo sapiens (Human)	782
Q08J23	Q08J23	reviewed	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2, EC 2.1.1.- (Myc-induced SUN domain-containing protein, Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (mRNA cytosine C(5)-methyltransferase, EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase, EC 2.1.1.-, EC 2.1.1.203) (tRNA methyltransferase 4 homolog, hTrm4)	NSUN2 SAKI TRM4	Homo sapiens (Human)	767
Q09019	Q09019	reviewed	DMWD_HUMAN	Dystrophia myotonica WD repeat-containing protein (Dystrophia myotonica-containing WD repeat motif protein) (Protein 59) (Protein DMR-N9)	DMWD DM9	Homo sapiens (Human)	674
Q09028	Q09028	reviewed	RBBP4_HUMAN	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C, CAF-1 subunit C) (Chromatin assembly factor I p48 subunit, CAF-I 48 kDa subunit, CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4, RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Homo sapiens (Human)	425
Q09161	Q09161	reviewed	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein, CBP80, NCBP 80 kDa subunit)	NCBP1 CBP80 NCBP	Homo sapiens (Human)	790
Q09472	Q09472	reviewed	EP300_HUMAN	Histone acetyltransferase p300, p300 HAT, EC 2.3.1.48 (E1A-associated protein p300) (Histone butyryltransferase p300, EC 2.3.1.-) (Histone crotonyltransferase p300, EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300, EC 2.3.1.-) (Protein lactyltransferas p300, EC 2.3.1.-) (Protein propionyltransferase p300, EC 2.3.1.-)	EP300 P300	Homo sapiens (Human)	2414
Q09666	Q09666	reviewed	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890
Q0D2I5	Q0D2I5	reviewed	IFFO1_HUMAN	Non-homologous end joining factor IFFO1, NHEJ factor IFFO1 (Intermediate filament family orphan 1) (Tumor antigen HOM-TES-103)	IFFO1 IFFO	Homo sapiens (Human)	559
Q0IIM8	Q0IIM8	reviewed	TBC8B_HUMAN	TBC1 domain family member 8B	TBC1D8B	Homo sapiens (Human)	1120
Q0JRZ9	Q0JRZ9	reviewed	FCHO2_HUMAN	F-BAR domain only protein 2	FCHO2	Homo sapiens (Human)	810
Q0VAK6	Q0VAK6	reviewed	LMOD3_HUMAN	Leiomodin-3 (Leiomodin, fetal form)	LMOD3	Homo sapiens (Human)	560
Q0VAQ4	Q0VAQ4	reviewed	SMAGP_HUMAN	Small cell adhesion glycoprotein (Small transmembrane and glycosylated protein)	SMAGP	Homo sapiens (Human)	97
Q0VD83	Q0VD83	reviewed	APOBR_HUMAN	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor, Apolipoprotein B48 receptor, apoB-48R)	APOBR APOB48R	Homo sapiens (Human)	1097
Q0VDD7	Q0VDD7	reviewed	BRME1_HUMAN	Break repair meiotic recombinase recruitment factor 1 (Pre-T/NK cell-associated protein 3B3)	BRME1 C19orf57	Homo sapiens (Human)	668
Q0VDF9	Q0VDF9	reviewed	HSP7E_HUMAN	Heat shock 70 kDa protein 14 (HSP70-like protein 1) (Heat shock protein HSP60)	HSPA14 HSP60 HSP70L1	Homo sapiens (Human)	509
Q0VF96	Q0VF96	reviewed	CGNL1_HUMAN	Cingulin-like protein 1 (Junction-associated coiled-coil protein) (Paracingulin)	CGNL1 JACOP KIAA1749	Homo sapiens (Human)	1302
Q0ZGT2	Q0ZGT2	reviewed	NEXN_HUMAN	Nexilin (F-actin-binding protein) (Nelin)	NEXN	Homo sapiens (Human)	675
Q10471	Q10471	reviewed	GALT2_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 2, EC 2.4.1.41 (Polypeptide GalNAc transferase 2, GalNAc-T2, pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form ]	GALNT2	Homo sapiens (Human)	571
Q10570	Q10570	reviewed	CPSF1_HUMAN	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit, CPSF 160 kDa subunit)	CPSF1 CPSF160	Homo sapiens (Human)	1443
Q10571	Q10571	reviewed	MN1_HUMAN	Transcriptional activator MN1 (Probable tumor suppressor protein MN1)	MN1	Homo sapiens (Human)	1320
Q10589	Q10589	reviewed	BST2_HUMAN	Bone marrow stromal antigen 2, BST-2 (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180
Q10713	Q10713	reviewed	MPPA_HUMAN	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	PMPCA INPP5E KIAA0123 MPPA	Homo sapiens (Human)	525
Q12756	Q12756	reviewed	KIF1A_HUMAN	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein, hUnc-104)	KIF1A ATSV C2orf20	Homo sapiens (Human)	1690
Q12765	Q12765	reviewed	SCRN1_HUMAN	Secernin-1	SCRN1 KIAA0193	Homo sapiens (Human)	414
Q12767	Q12767	reviewed	TMM94_HUMAN	Transmembrane protein 94	TMEM94 KIAA0195	Homo sapiens (Human)	1356
Q12770	Q12770	reviewed	SCAP_HUMAN	Sterol regulatory element-binding protein cleavage-activating protein, SCAP, SREBP cleavage-activating protein	SCAP KIAA0199 PSEC0227	Homo sapiens (Human)	1279
Q12772	Q12772	reviewed	SRBP2_HUMAN	Sterol regulatory element-binding protein 2, SREBP-2 (Class D basic helix-loop-helix protein 2, bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2) ]	SREBF2 BHLHD2 SREBP2	Homo sapiens (Human)	1141
Q12774	Q12774	reviewed	ARHG5_HUMAN	Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM)	ARHGEF5 TIM	Homo sapiens (Human)	1597
Q12778	Q12778	reviewed	FOXO1_HUMAN	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A	Homo sapiens (Human)	655
Q12789	Q12789	reviewed	TF3C1_HUMAN	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit, TFIIIC 220 kDa subunit, TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	Homo sapiens (Human)	2109
Q12791	Q12791	reviewed	KCMA1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel, MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog, Slo homolog, hSlo)	KCNMA1 KCNMA SLO	Homo sapiens (Human)	1236
Q12792	Q12792	reviewed	TWF1_HUMAN	Twinfilin-1 (Protein A6) (Protein tyrosine kinase 9)	TWF1 PTK9	Homo sapiens (Human)	350
Q12797	Q12797	reviewed	ASPH_HUMAN	Aspartyl/asparaginyl beta-hydroxylase, EC 1.14.11.16 (Aspartate beta-hydroxylase, ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)	ASPH BAH	Homo sapiens (Human)	758
Q12802	Q12802	reviewed	AKP13_HUMAN	A-kinase anchor protein 13, AKAP-13 (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene, LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13, PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)	2813
Q12809	Q12809	reviewed	KCNH2_HUMAN	Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1, ERG-1, Eag-related protein 1, Ether-a-go-go-related protein 1, H-ERG, hERG-1, hERG1) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
Q12815	Q12815	reviewed	TROAP_HUMAN	Tastin (Trophinin-assisting protein) (Trophinin-associated protein)	TROAP	Homo sapiens (Human)	778
Q12816	Q12816	reviewed	TROP_HUMAN	Trophinin (MAGE-D3 antigen)	TRO KIAA1114 MAGED3	Homo sapiens (Human)	1431
Q12824	Q12824	reviewed	SNF5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47, BAF47) (Integrase interactor 1 protein) (SNF5 homolog, hSNF5)	SMARCB1 BAF47 INI1 SNF5L1	Homo sapiens (Human)	385
Q12830	Q12830	reviewed	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
Q12834	Q12834	reviewed	CDC20_HUMAN	Cell division cycle protein 20 homolog (p55CDC)	CDC20	Homo sapiens (Human)	499
Q12840	Q12840	reviewed	KIF5A_HUMAN	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain, NKHC)	KIF5A NKHC1	Homo sapiens (Human)	1032
Q12841	Q12841	reviewed	FSTL1_HUMAN	Follistatin-related protein 1 (Follistatin-like protein 1)	FSTL1 FRP	Homo sapiens (Human)	308
Q12846	Q12846	reviewed	STX4_HUMAN	Syntaxin-4 (Renal carcinoma antigen NY-REN-31)	STX4 STX4A	Homo sapiens (Human)	297
Q12849	Q12849	reviewed	GRSF1_HUMAN	G-rich sequence factor 1, GRSF-1	GRSF1	Homo sapiens (Human)	480
Q12851	Q12851	reviewed	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2, EC 2.7.11.1 (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase, GC kinase) (MAPK/ERK kinase kinase kinase 2, MEK kinase kinase 2, MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	Homo sapiens (Human)	820
Q12852	Q12852	reviewed	M3K12_HUMAN	Mitogen-activated protein kinase kinase kinase 12, EC 2.7.11.25 (Dual leucine zipper bearing kinase, DLK) (Leucine-zipper protein kinase, ZPK) (MAPK-upstream kinase, MUK) (Mixed lineage kinase)	MAP3K12 ZPK	Homo sapiens (Human)	859
Q12864	Q12864	reviewed	CAD17_HUMAN	Cadherin-17 (Intestinal peptide-associated transporter HPT-1) (Liver-intestine cadherin, LI-cadherin)	CDH17	Homo sapiens (Human)	832
Q12872	Q12872	reviewed	SFSWA_HUMAN	Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)	SFSWAP SFRS8 SWAP	Homo sapiens (Human)	951
Q12873	Q12873	reviewed	CHD3_HUMAN	Chromodomain-helicase-DNA-binding protein 3, CHD-3, EC 3.6.4.12 (ATP-dependent helicase CHD3) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase, hZFH)	CHD3	Homo sapiens (Human)	2000
Q12874	Q12874	reviewed	SF3A3_HUMAN	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61, SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
Q12879	Q12879	reviewed	NMDE1_HUMAN	Glutamate receptor ionotropic, NMDA 2A, GluN2A (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A, NMDAR2A, NR2A, hNR2A)	GRIN2A NMDAR2A	Homo sapiens (Human)	1464
Q12888	Q12888	reviewed	TP53B_HUMAN	TP53-binding protein 1, 53BP1, p53-binding protein 1, p53BP1	TP53BP1	Homo sapiens (Human)	1972
Q12891	Q12891	reviewed	HYAL2_HUMAN	Hyaluronidase-2, Hyal-2, EC 3.2.1.35 (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2, LuCa-2)	HYAL2 LUCA2	Homo sapiens (Human)	473
Q12893	Q12893	reviewed	TM115_HUMAN	Transmembrane protein 115 (Placental protein 6) (Protein PL6)	TMEM115 PL6 LUCA11.2	Homo sapiens (Human)	351
Q12894	Q12894	reviewed	IFRD2_HUMAN	Interferon-related developmental regulator 2 (Protein SKMC15)	IFRD2	Homo sapiens (Human)	506
Q12899	Q12899	reviewed	TRI26_HUMAN	Tripartite motif-containing protein 26, EC 2.3.2.27 (Acid finger protein, AFP) (RING finger protein 95) (Zinc finger protein 173)	TRIM26 RNF95 ZNF173	Homo sapiens (Human)	539
Q12904	Q12904	reviewed	AIMP1_HUMAN	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2, EMAP-2 (Endothelial monocyte-activating polypeptide II, EMAP-II) (Small inducible cytokine subfamily E member 1) ]	AIMP1 EMAP2 SCYE1	Homo sapiens (Human)	312
Q12905	Q12905	reviewed	ILF2_HUMAN	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	390
Q12906	Q12906	reviewed	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76, DRBP76) (M-phase phosphoprotein 4, MPP4) (Nuclear factor associated with dsRNA, NFAR) (Nuclear factor of activated T-cells 90 kDa, NF-AT-90) (Translational control protein 80, TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
Q12912	Q12912	reviewed	IRAG2_HUMAN	Inositol 1,4,5-triphosphate receptor associated 2 (Lymphoid-restricted membrane protein) (Protein Jaw1) [Cleaved into: Processed inositol 1,4,5-triphosphate receptor associated 2 ]	IRAG2 JAW1 LRMP	Homo sapiens (Human)	555
Q12913	Q12913	reviewed	PTPRJ_HUMAN	Receptor-type tyrosine-protein phosphatase eta, Protein-tyrosine phosphatase eta, R-PTP-eta, EC 3.1.3.48 (Density-enhanced phosphatase 1, DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J, R-PTP-J) (CD antigen CD148)	PTPRJ DEP1	Homo sapiens (Human)	1337
Q12923	Q12923	reviewed	PTN13_HUMAN	Tyrosine-protein phosphatase non-receptor type 13, EC 3.1.3.48 (Fas-associated protein-tyrosine phosphatase 1, FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E, PTP-E1, hPTPE1) (Protein-tyrosine phosphatase PTPL1)	PTPN13 PNP1 PTP1E PTPL1	Homo sapiens (Human)	2485
Q12926	Q12926	reviewed	ELAV2_HUMAN	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B, HuB) (Nervous system-specific RNA-binding protein Hel-N1)	ELAVL2 HUB	Homo sapiens (Human)	359
Q12929	Q12929	reviewed	EPS8_HUMAN	Epidermal growth factor receptor kinase substrate 8	EPS8	Homo sapiens (Human)	822
Q12931	Q12931	reviewed	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial, HSP 75 (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein, TRAP-1)	TRAP1 HSP75	Homo sapiens (Human)	704
Q12933	Q12933	reviewed	TRAF2_HUMAN	TNF receptor-associated factor 2, EC 2.3.2.27 (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)	TRAF2 TRAP3	Homo sapiens (Human)	501
Q12946	Q12946	reviewed	FOXF1_HUMAN	Forkhead box protein F1 (Forkhead-related activator 1, FREAC-1) (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1)	FOXF1 FKHL5 FREAC1	Homo sapiens (Human)	379
Q12948	Q12948	reviewed	FOXC1_HUMAN	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3, FREAC-3)	FOXC1 FKHL7 FREAC3	Homo sapiens (Human)	553
