ENSG00000105939	ZC3HAV1
ENSG00000065675	PRKCQ
ENSG00000137078	SIT1
ENSG00000163527	STT3B
ENSG00000148357	HMCN2
ENSG00000081307	UBA5
ENSG00000071894	CPSF1
ENSG00000170776	AKAP13
ENSG00000185666	SYN3
ENSG00000167978	SRRM2
ENSG00000169957	ZNF768
ENSG00000120733	KDM3B
ENSG00000071282	LMCD1
ENSG00000084112	SSH1
ENSG00000125812	GZF1
ENSG00000149596	JPH2
ENSG00000154783	FGD5
ENSG00000198690	FAN1
ENSG00000148396	SEC16A
ENSG00000136448	NMT1
ENSG00000113758	DBN1
ENSG00000148341	SH3GLB2
ENSG00000153113	CAST
ENSG00000001497	LAS1L
ENSG00000115966	ATF2
ENSG00000121486	TRMT1L
ENSG00000164323	CFAP97
ENSG00000113580	NR3C1
ENSG00000151849	CENPJ
ENSG00000154114	TBCEL
ENSG00000167978	SRRM2
ENSG00000038532	CLEC16A
ENSG00000172572	PDE3A
ENSG00000109787	KLF3
ENSG00000162244	RPL29
ENSG00000081237	PTPRC
ENSG00000163520	FBLN2
ENSG00000198604	BAZ1A
ENSG00000142599	RERE
ENSG00000065534	MYLK
ENSG00000078018	MAP2
ENSG00000132688	NES
ENSG00000145041	DCAF1
ENSG00000131771	PPP1R1B
ENSG00000075292	ZNF638
ENSG00000095319	NUP188
ENSG00000196642	RABL6
ENSG00000147654	EBAG9
ENSG00000180667	YOD1
ENSG00000136643	RPS6KC1
ENSG00000165194	PCDH19
ENSG00000116521	SCAMP3
ENSG00000139687	RB1
ENSG00000165097	KDM1B
ENSG00000110172	CHORDC1
ENSG00000178965	ERICH3
ENSG00000100351	GRAP2
ENSG00000087087	SRRT
ENSG00000076826	CAMSAP3
ENSG00000105723	GSK3A
ENSG00000055609	KMT2C
ENSG00000065882	TBC1D1
ENSG00000171560	FGA
ENSG00000136861	CDK5RAP2
ENSG00000111665	CDCA3
ENSG00000149346	SLX4IP
ENSG00000131037	EPS8L1
ENSG00000115875	SRSF7
ENSG00000196730	DAPK1
ENSG00000128567	PODXL
ENSG00000118898	PPL
ENSG00000105619	TFPT
ENSG00000074755	ZZEF1
ENSG00000154310	TNIK
ENSG00000196504	PRPF40A
ENSG00000136754	ABI1
ENSG00000100207	TCF20
ENSG00000154556	SORBS2
ENSG00000032444	PNPLA6
ENSG00000115421	PAPOLG
ENSG00000124942	AHNAK
ENSG00000149115	TNKS1BP1
ENSG00000058729	RIOK2
ENSG00000124198	ARFGEF2
ENSG00000197063	MAFG
ENSG00000040933	INPP4A
ENSG00000057294	PKP2
ENSG00000138785	INTS12
ENSG00000088038	CNOT3
ENSG00000110934	BIN2
ENSG00000118785	SPP1
ENSG00000158856	DMTN
ENSG00000101191	DIDO1
ENSG00000120729	MYOT
ENSG00000123094	RASSF8
ENSG00000146842	TMEM209
ENSG00000130559	CAMSAP1
ENSG00000079432	CIC
ENSG00000070495	JMJD6
ENSG00000101773	RBBP8
ENSG00000180530	NRIP1
ENSG00000168724	DNAJC21
ENSG00000111653	ING4
ENSG00000129474	AJUBA
ENSG00000196396	PTPN1
ENSG00000160813	PPP1R35
ENSG00000168488	ATXN2L
ENSG00000263001	GTF2I
ENSG00000180488	MIGA1
ENSG00000111581	NUP107
ENSG00000047849	MAP4
ENSG00000151503	NCAPD3
ENSG00000136205	TNS3
ENSG00000130024	PHF10
ENSG00000104635	SLC39A14
ENSG00000106823	ECM2
ENSG00000140259	MFAP1
ENSG00000124831	LRRFIP1
ENSG00000134313	KIDINS220
ENSG00000198265	HELZ
ENSG00000185567	AHNAK2
ENSG00000119487	MAPKAP1
ENSG00000283632	EXOC3L2
ENSG00000159314	ARHGAP27
ENSG00000141858	SAMD1
ENSG00000198729	PPP1R14C
ENSG00000129003	VPS13C
ENSG00000131747	TOP2A
ENSG00000023902	PLEKHO1
ENSG00000071655	MBD3
ENSG00000152556	PFKM
ENSG00000174720	LARP7
ENSG00000119231	SENP5
ENSG00000102024	PLS3
ENSG00000147649	MTDH
ENSG00000107771	CCSER2
ENSG00000127947	PTPN12
ENSG00000074657	ZNF532
ENSG00000198087	CD2AP
ENSG00000115648	MLPH
ENSG00000080200	CRYBG3
ENSG00000105538	RASIP1
ENSG00000170454	KRT75
ENSG00000087365	SF3B2
ENSG00000110723	EXPH5
ENSG00000126822	PLEKHG3
ENSG00000151150	ANK3
ENSG00000063046	EIF4B
ENSG00000277363	SRCIN1
ENSG00000172943	PHF8
ENSG00000203485	INF2
ENSG00000092853	CLSPN
ENSG00000151491	EPS8
ENSG00000143815	LBR
ENSG00000116062	MSH6
ENSG00000131725	WDR44
ENSG00000078018	MAP2
ENSG00000073910	FRY
ENSG00000149798	CDC42EP2
ENSG00000108021	FAM208B
ENSG00000163219	ARHGAP25
ENSG00000169891	REPS2
ENSG00000145241	CENPC
ENSG00000180104	EXOC3
ENSG00000111641	NOP2
ENSG00000079308	TNS1
ENSG00000164828	SUN1
ENSG00000198010	DLGAP2
ENSG00000060749	QSER1
ENSG00000143476	DTL
ENSG00000080200	CRYBG3
ENSG00000132359	RAP1GAP2
ENSG00000141905	NFIC
ENSG00000168872	DDX19A
ENSG00000198771	RCSD1
ENSG00000198853	RUSC2
ENSG00000047849	MAP4
ENSG00000038358	EDC4
ENSG00000090615	GOLGA3
ENSG00000140368	PSTPIP1
ENSG00000156508	EEF1A1
ENSG00000107404	DVL1
ENSG00000138771	SHROOM3
ENSG00000164434	FABP7
ENSG00000155660	PDIA4
ENSG00000079308	TNS1
ENSG00000128951	DUT
ENSG00000166734	CASC4
ENSG00000160818	GPATCH4
ENSG00000090905	TNRC6A
ENSG00000110934	BIN2
ENSG00000165632	TAF3
ENSG00000113319	RASGRF2
ENSG00000244486	SCARF2
ENSG00000157107	FCHO2
ENSG00000169509	CRCT1
ENSG00000156931	VPS8
ENSG00000019144	PHLDB1
ENSG00000136205	TNS3
ENSG00000151694	ADAM17
ENSG00000078674	PCM1
ENSG00000157423	HYDIN
ENSG00000124942	AHNAK
ENSG00000106351	AGFG2
ENSG00000108557	RAI1
ENSG00000157827	FMNL2
ENSG00000138433	CIR1
ENSG00000100353	EIF3D
ENSG00000092054	MYH7
ENSG00000110514	MADD
ENSG00000146676	PURB
ENSG00000114857	NKTR
ENSG00000102362	SYTL4
ENSG00000070159	PTPN3
ENSG00000163071	SPATA18
ENSG00000116128	BCL9
ENSG00000131236	CAP1
ENSG00000151208	DLG5
ENSG00000196924	FLNA
ENSG00000169122	FAM110B
ENSG00000005810	MYCBP2
ENSG00000078618	NRDC
ENSG00000149115	TNKS1BP1
ENSG00000112182	BACH2
ENSG00000163346	PBXIP1
ENSG00000167767	KRT80
ENSG00000103197	TSC2
ENSG00000158856	DMTN
ENSG00000129474	AJUBA
ENSG00000110934	BIN2
ENSG00000173230	GOLGB1
ENSG00000040341	STAU2
ENSG00000142599	RERE
ENSG00000061987	MON2
ENSG00000180776	ZDHHC20
ENSG00000089199	CHGB
ENSG00000132485	ZRANB2
ENSG00000102699	PARP4
ENSG00000163681	SLMAP
ENSG00000143569	UBAP2L
ENSG00000080493	SLC4A4
ENSG00000164916	FOXK1
ENSG00000243156	MICAL3
ENSG00000196923	PDLIM7
ENSG00000174953	DHX36
ENSG00000167671	UBXN6
ENSG00000100056	ESS2
ENSG00000108821	COL1A1
ENSG00000065526	SPEN
ENSG00000123200	ZC3H13
ENSG00000159082	SYNJ1
ENSG00000140264	SERF2
ENSG00000168078	PBK
ENSG00000171914	TLN2
ENSG00000166313	APBB1
ENSG00000129195	PIMREG
ENSG00000204469	PRRC2A
ENSG00000102103	PQBP1
ENSG00000008056	SYN1
ENSG00000055609	KMT2C
ENSG00000102710	SUPT20H
ENSG00000100664	EIF5
ENSG00000138757	G3BP2
ENSG00000155307	SAMSN1
ENSG00000011426	ANLN
ENSG00000168502	MTCL1
ENSG00000116141	MARK1
ENSG00000165757	JCAD
ENSG00000111961	SASH1
ENSG00000115306	SPTBN1
ENSG00000111077	TNS2
ENSG00000188994	ZNF292
ENSG00000008086	CDKL5
ENSG00000131381	RBSN
ENSG00000141510	TP53
ENSG00000160789	LMNA
ENSG00000204842	ATXN2
ENSG00000132780	NASP
ENSG00000164694	FNDC1
ENSG00000151849	CENPJ
ENSG00000116584	ARHGEF2
ENSG00000086758	HUWE1
ENSG00000049618	ARID1B
ENSG00000129514	FOXA1
ENSG00000171680	PLEKHG5
ENSG00000185658	BRWD1
ENSG00000083799	CYLD
ENSG00000205581	HMGN1
ENSG00000163166	IWS1
ENSG00000251322	SHANK3
ENSG00000110844	PRPF40B
ENSG00000166689	PLEKHA7
ENSG00000072110	ACTN1
ENSG00000171475	WIPF2
ENSG00000135540	NHSL1
ENSG00000175455	CCDC14
ENSG00000135090	TAOK3
ENSG00000171777	RASGRP4
ENSG00000167658	EEF2
ENSG00000135480	KRT7
ENSG00000120549	KIAA1217
ENSG00000114857	NKTR
ENSG00000197077	KIAA1671
ENSG00000105171	POP4
ENSG00000112739	PRPF4B
ENSG00000135541	AHI1
ENSG00000152270	PDE3B
ENSG00000047579	DTNBP1
ENSG00000104881	PPP1R13L
ENSG00000163605	PPP4R2
ENSG00000071054	MAP4K4
ENSG00000164889	SLC4A2
ENSG00000086065	CHMP5
ENSG00000181458	TMEM45A
ENSG00000143702	CEP170
ENSG00000272886	DCP1A
ENSG00000163714	U2SURP
ENSG00000178209	PLEC
ENSG00000146414	SHPRH
ENSG00000093000	NUP50
ENSG00000152291	TGOLN2
ENSG00000186174	BCL9L
ENSG00000114423	CBLB
ENSG00000184897	H1FX
ENSG00000197077	KIAA1671
ENSG00000113555	PCDH12
ENSG00000000971	CFH
ENSG00000166197	NOLC1
ENSG00000058729	RIOK2
ENSG00000150776	NKAPD1
ENSG00000147010	SH3KBP1
ENSG00000108679	LGALS3BP
ENSG00000162402	USP24
ENSG00000103152	MPG
ENSG00000105289	TJP3
ENSG00000278311	GGNBP2
ENSG00000173166	RAPH1
ENSG00000013364	MVP
ENSG00000106682	EIF4H
ENSG00000038358	EDC4
ENSG00000198561	CTNND1
ENSG00000119326	CTNNAL1
ENSG00000183186	C2CD4C
ENSG00000160633	SAFB
ENSG00000124789	NUP153
ENSG00000118729	CASQ2
ENSG00000196814	MVB12B
ENSG00000169499	PLEKHA2
ENSG00000166669	ATF7IP2
ENSG00000164080	RAD54L2
ENSG00000143669	LYST
ENSG00000116641	DOCK7
ENSG00000140386	SCAPER
ENSG00000097096	SYDE2
ENSG00000140682	TGFB1I1
ENSG00000168172	HOOK3
ENSG00000123636	BAZ2B
ENSG00000146909	NOM1
ENSG00000253958	CLDN23
ENSG00000110075	PPP6R3
ENSG00000151320	AKAP6
ENSG00000136279	DBNL
ENSG00000124782	RREB1
ENSG00000164190	NIPBL
ENSG00000173473	SMARCC1
ENSG00000152683	SLC30A6
ENSG00000204673	AKT1S1
ENSG00000134709	HOOK1
ENSG00000102241	HTATSF1
ENSG00000158417	EIF5B
ENSG00000225830	ERCC6
ENSG00000110104	CCDC86
ENSG00000158517	NCF1
ENSG00000151320	AKAP6
ENSG00000135540	NHSL1
ENSG00000161204	ABCF3
ENSG00000198408	MGEA5
ENSG00000167978	SRRM2
ENSG00000088899	LZTS3
ENSG00000167323	STIM1
ENSG00000109107	ALDOC
ENSG00000197971	MBP
ENSG00000048828	FAM120A
ENSG00000144283	PKP4
ENSG00000130749	ZC3H4
ENSG00000170180	GYPA
ENSG00000005436	GCFC2
ENSG00000111554	MDM1
ENSG00000136167	LCP1
ENSG00000005156	LIG3
ENSG00000184863	RBM33
ENSG00000157106	SMG1
ENSG00000067369	TP53BP1
ENSG00000115306	SPTBN1
ENSG00000101189	MRGBP
ENSG00000119866	BCL11A
ENSG00000164754	RAD21
ENSG00000186081	KRT5
ENSG00000031823	RANBP3
ENSG00000116350	SRSF4
ENSG00000197958	RPL12
ENSG00000170004	CHD3
ENSG00000128591	FLNC
ENSG00000137656	BUD13
ENSG00000129534	MIS18BP1
ENSG00000131013	PPIL4
ENSG00000126883	NUP214
ENSG00000135525	MAP7
ENSG00000136982	DSCC1
ENSG00000116478	HDAC1
ENSG00000147526	TACC1
ENSG00000261150	EPPK1
ENSG00000131018	SYNE1
ENSG00000136205	TNS3
ENSG00000090989	EXOC1
ENSG00000100226	GTPBP1
ENSG00000198087	CD2AP
ENSG00000102241	HTATSF1
ENSG00000196924	FLNA
ENSG00000161847	RAVER1
ENSG00000128595	CALU
ENSG00000130479	MAP1S
ENSG00000106244	PDAP1
ENSG00000067225	PKM
ENSG00000177731	FLII
ENSG00000198730	CTR9
ENSG00000182196	ARL6IP4
ENSG00000136153	LMO7
ENSG00000141837	CACNA1A
ENSG00000182095	TNRC18
ENSG00000139697	SBNO1
ENSG00000102030	NAA10
ENSG00000083093	PALB2
ENSG00000133226	SRRM1
ENSG00000138347	MYPN
ENSG00000141867	BRD4
ENSG00000153201	RANBP2
ENSG00000054654	SYNE2
ENSG00000163814	CDCP1
ENSG00000181788	SIAH2
ENSG00000156831	NSMCE2
ENSG00000129595	EPB41L4A
ENSG00000213064	SFT2D2
ENSG00000182162	P2RY8
ENSG00000179841	AKAP5
ENSG00000153094	BCL2L11
ENSG00000148773	MKI67
ENSG00000168763	CNNM3
ENSG00000109265	KIAA1211
ENSG00000124784	RIOK1
ENSG00000197555	SIPA1L1
ENSG00000160633	SAFB
ENSG00000196639	HRH1
ENSG00000185567	AHNAK2
ENSG00000168014	C2CD3
ENSG00000153071	DAB2
ENSG00000093167	LRRFIP2
ENSG00000169129	AFAP1L2
ENSG00000131435	PDLIM4
ENSG00000001167	NFYA
ENSG00000185049	NELFA
ENSG00000123636	BAZ2B
ENSG00000182253	SYNM
ENSG00000122779	TRIM24
ENSG00000136715	SAP130
ENSG00000275342	PRAG1
ENSG00000135837	CEP350
ENSG00000131018	SYNE1
ENSG00000184640	SEPT9
ENSG00000146376	ARHGAP18
ENSG00000185133	INPP5J
ENSG00000184863	RBM33
ENSG00000144824	PHLDB2
ENSG00000137076	TLN1
ENSG00000243156	MICAL3
ENSG00000131626	PPFIA1
ENSG00000079841	RIMS1
ENSG00000131711	MAP1B
ENSG00000008294	SPAG9
ENSG00000086544	ITPKC
ENSG00000117724	CENPF
ENSG00000128581	IFT22
ENSG00000137343	ATAT1
ENSG00000174791	RIN1
ENSG00000086015	MAST2
ENSG00000143702	CEP170
ENSG00000167978	SRRM2
ENSG00000185122	HSF1
ENSG00000094975	SUCO
ENSG00000117632	STMN1
ENSG00000214717	ZBED1
ENSG00000107679	PLEKHA1
ENSG00000074054	CLASP1
ENSG00000138347	MYPN
ENSG00000170579	DLGAP1
ENSG00000173681	BCLAF3
ENSG00000128245	YWHAH
ENSG00000100139	MICALL1
ENSG00000138434	SSFA2
ENSG00000164985	PSIP1
ENSG00000076864	RAP1GAP
ENSG00000167978	SRRM2
ENSG00000038219	BOD1L1
ENSG00000124942	AHNAK
ENSG00000075275	CELSR1
ENSG00000102401	ARMCX3
ENSG00000107581	EIF3A
ENSG00000054267	ARID4B
ENSG00000102241	HTATSF1
ENSG00000144824	PHLDB2
ENSG00000167110	GOLGA2
ENSG00000029534	ANK1
ENSG00000183530	PRR14L
ENSG00000079335	CDC14A
ENSG00000143398	PIP5K1A
ENSG00000116830	TTF2
ENSG00000176058	TPRN
ENSG00000133059	DSTYK
ENSG00000135525	MAP7
ENSG00000139697	SBNO1
ENSG00000132424	PNISR
ENSG00000108599	AKAP10
ENSG00000186716	BCR
ENSG00000204356	NELFE
ENSG00000198369	SPRED2
ENSG00000167978	SRRM2
ENSG00000177951	BET1L
ENSG00000141424	SLC39A6
ENSG00000181163	NPM1
ENSG00000198492	YTHDF2
ENSG00000183742	MACC1
ENSG00000140464	PML
ENSG00000132424	PNISR
ENSG00000136167	LCP1
ENSG00000184640	SEPT9
ENSG00000134369	NAV1
ENSG00000165757	JCAD
ENSG00000198824	CHAMP1
ENSG00000203879	GDI1
ENSG00000182795	C1orf116
ENSG00000166289	PLEKHF1
ENSG00000100105	PATZ1
ENSG00000117448	AKR1A1
ENSG00000180228	PRKRA
ENSG00000165632	TAF3
ENSG00000123200	ZC3H13
ENSG00000082175	PGR
ENSG00000154310	TNIK
ENSG00000125730	C3
ENSG00000145012	LPP
ENSG00000130811	EIF3G
ENSG00000118308	LRMP
ENSG00000169564	PCBP1
ENSG00000166387	PPFIBP2
ENSG00000111652	COPS7A
ENSG00000189114	BLOC1S3
ENSG00000196498	NCOR2
ENSG00000055044	NOP58
ENSG00000105939	ZC3HAV1
ENSG00000052126	PLEKHA5
ENSG00000116641	DOCK7
ENSG00000119917	IFIT3
ENSG00000165914	TTC7B
ENSG00000002549	LAP3
ENSG00000046604	DSG2
ENSG00000173575	CHD2
ENSG00000173905	GOLIM4
ENSG00000125351	UPF3B
ENSG00000186472	PCLO
ENSG00000001497	LAS1L
ENSG00000163629	PTPN13
ENSG00000125686	MED1
ENSG00000120802	TMPO
ENSG00000204469	PRRC2A
ENSG00000101331	CCM2L
ENSG00000120709	FAM53C
ENSG00000197321	SVIL
ENSG00000148300	REXO4
ENSG00000125731	SH2D3A
ENSG00000090989	EXOC1
ENSG00000114853	ZBTB47
ENSG00000160789	LMNA
ENSG00000167978	SRRM2
ENSG00000127481	UBR4
ENSG00000138688	KIAA1109
ENSG00000196639	HRH1
ENSG00000095787	WAC
ENSG00000196924	FLNA
ENSG00000137076	TLN1
ENSG00000184708	EIF4ENIF1
ENSG00000124383	MPHOSPH10
ENSG00000143751	SDE2
ENSG00000154783	FGD5
ENSG00000111077	TNS2
ENSG00000140368	PSTPIP1
ENSG00000080200	CRYBG3
ENSG00000116141	MARK1
ENSG00000147862	NFIB
ENSG00000165995	CACNB2
ENSG00000113916	BCL6
ENSG00000072518	MARK2
ENSG00000104067	TJP1
ENSG00000149929	HIRIP3
ENSG00000104722	NEFM
ENSG00000124942	AHNAK
ENSG00000151702	FLI1
ENSG00000148516	ZEB1
ENSG00000138443	ABI2
ENSG00000143322	ABL2
ENSG00000197702	PARVA
ENSG00000079308	TNS1
ENSG00000106772	PRUNE2
ENSG00000100813	ACIN1
ENSG00000179889	PDXDC1
ENSG00000133401	PDZD2
ENSG00000058804	NDC1
ENSG00000107625	DDX50
ENSG00000102931	ARL2BP
ENSG00000205581	HMGN1
ENSG00000136854	STXBP1
ENSG00000021762	OSBPL5
ENSG00000125676	THOC2
ENSG00000124942	AHNAK
ENSG00000129250	KIF1C
ENSG00000163719	MTMR14
ENSG00000011028	MRC2
ENSG00000100105	PATZ1
ENSG00000088888	MAVS
ENSG00000089820	ARHGAP4
ENSG00000165801	ARHGEF40
ENSG00000105355	PLIN3
ENSG00000172977	KAT5
ENSG00000227345	PARG
ENSG00000136231	IGF2BP3
ENSG00000189195	BTBD8
ENSG00000188112	C6orf132
ENSG00000172403	SYNPO2
ENSG00000161036	LRWD1
ENSG00000158417	EIF5B
ENSG00000059804	SLC2A3
ENSG00000136295	TTYH3
ENSG00000132952	USPL1
ENSG00000144645	OSBPL10
ENSG00000124942	AHNAK
ENSG00000101558	VAPA
ENSG00000082153	BZW1
ENSG00000172349	IL16
ENSG00000151208	DLG5
ENSG00000015133	CCDC88C
ENSG00000147133	TAF1
ENSG00000092201	SUPT16H
ENSG00000182253	SYNM
ENSG00000099814	CEP170B
ENSG00000116132	PRRX1
ENSG00000167978	SRRM2
ENSG00000168916	ZNF608
ENSG00000108349	CASC3
ENSG00000137501	SYTL2
ENSG00000155974	GRIP1
ENSG00000125731	SH2D3A
ENSG00000029534	ANK1
ENSG00000179922	ZNF784
ENSG00000239887	C1orf226
ENSG00000105705	SUGP1
ENSG00000101361	NOP56
ENSG00000145241	CENPC
ENSG00000137216	TMEM63B
ENSG00000158055	GRHL3
ENSG00000092964	DPYSL2
ENSG00000198793	MTOR
ENSG00000146950	SHROOM2
ENSG00000130723	PRRC2B
ENSG00000048649	RSF1
ENSG00000166716	ZNF592
ENSG00000132688	NES
ENSG00000027697	IFNGR1
ENSG00000143514	TP53BP2
ENSG00000079308	TNS1
ENSG00000197380	DACT3
ENSG00000005302	MSL3
ENSG00000159840	ZYX
ENSG00000124942	AHNAK
ENSG00000077097	TOP2B
ENSG00000100092	SH3BP1
ENSG00000110048	OSBP
ENSG00000131016	AKAP12
ENSG00000101940	WDR13
ENSG00000188158	NHS
ENSG00000008441	NFIX
ENSG00000125651	GTF2F1
ENSG00000156304	SCAF4
ENSG00000113916	BCL6
ENSG00000173821	RNF213
ENSG00000169258	GPRIN1
ENSG00000164068	RNF123
ENSG00000105738	SIPA1L3
ENSG00000136155	SCEL
ENSG00000196914	ARHGEF12
ENSG00000111641	NOP2
ENSG00000158636	EMSY
ENSG00000025796	SEC63
ENSG00000162702	ZNF281
ENSG00000068489	PRR11
ENSG00000149639	SOGA1
ENSG00000109944	JHY
ENSG00000188229	TUBB4B
ENSG00000033327	GAB2
ENSG00000148798	INA
ENSG00000143373	ZNF687
ENSG00000137076	TLN1
ENSG00000174233	ADCY6
ENSG00000111335	OAS2
ENSG00000169371	SNUPN
ENSG00000171634	BPTF
ENSG00000198931	APRT
ENSG00000148773	MKI67
ENSG00000100813	ACIN1
ENSG00000164684	ZNF704
ENSG00000118308	LRMP
ENSG00000073614	KDM5A
ENSG00000162775	RBM15
ENSG00000184384	MAML2
ENSG00000096746	HNRNPH3
ENSG00000140044	JDP2
ENSG00000154310	TNIK
ENSG00000163704	PRRT3
ENSG00000213445	SIPA1
ENSG00000128283	CDC42EP1
ENSG00000079841	RIMS1
ENSG00000177663	IL17RA
ENSG00000026508	CD44
ENSG00000172466	ZNF24
ENSG00000110723	EXPH5
ENSG00000164327	RICTOR
ENSG00000134186	PRPF38B
ENSG00000136153	LMO7
ENSG00000157107	FCHO2
ENSG00000171681	ATF7IP
ENSG00000096060	FKBP5
ENSG00000242247	ARFGAP3
ENSG00000090661	CERS4
ENSG00000065526	SPEN
ENSG00000124942	AHNAK
ENSG00000169857	AVEN
ENSG00000188529	SRSF10
ENSG00000137076	TLN1
ENSG00000105063	PPP6R1
ENSG00000149357	LAMTOR1
ENSG00000106244	PDAP1
ENSG00000114796	KLHL24
ENSG00000137145	DENND4C
ENSG00000136205	TNS3
ENSG00000169398	PTK2
ENSG00000259956	RBM15B
ENSG00000164691	TAGAP
ENSG00000137076	TLN1
ENSG00000198825	INPP5F
ENSG00000122786	CALD1
ENSG00000198771	RCSD1
ENSG00000099385	BCL7C
ENSG00000122965	RBM19
ENSG00000182872	RBM10
ENSG00000120278	PLEKHG1
ENSG00000183763	TRAIP
ENSG00000121741	ZMYM2
ENSG00000072786	STK10
ENSG00000149823	VPS51
ENSG00000060237	WNK1
ENSG00000197724	PHF2
ENSG00000196498	NCOR2
ENSG00000111731	C2CD5
ENSG00000140093	SERPINA10
ENSG00000185739	SRL
ENSG00000196220	SRGAP3
ENSG00000103994	ZNF106
ENSG00000167986	DDB1
ENSG00000141577	CEP131
ENSG00000127603	MACF1
ENSG00000159459	UBR1
ENSG00000167978	SRRM2
ENSG00000257103	LSM14A
ENSG00000132275	RRP8
ENSG00000135631	RAB11FIP5
ENSG00000198026	ZNF335
ENSG00000132017	DCAF15
ENSG00000131697	NPHP4
ENSG00000125731	SH2D3A
ENSG00000114857	NKTR
ENSG00000070047	PHRF1
ENSG00000127481	UBR4
ENSG00000058453	CROCC
ENSG00000143702	CEP170
ENSG00000131016	AKAP12
ENSG00000171148	TADA3
ENSG00000124151	NCOA3
ENSG00000170456	DENND5B
ENSG00000117640	MTFR1L
ENSG00000196924	FLNA
ENSG00000117713	ARID1A
ENSG00000104093	DMXL2
ENSG00000101096	NFATC2
ENSG00000119844	AFTPH
ENSG00000109062	SLC9A3R1
ENSG00000116273	PHF13
ENSG00000073969	NSF
ENSG00000124357	NAGK
ENSG00000175336	APOF
ENSG00000137962	ARHGAP29
ENSG00000095637	SORBS1
ENSG00000167522	ANKRD11
ENSG00000101040	ZMYND8
ENSG00000023191	RNH1
ENSG00000111667	USP5
ENSG00000177885	GRB2
ENSG00000162302	RPS6KA4
ENSG00000050405	LIMA1
ENSG00000133812	SBF2
ENSG00000107738	VSIR
ENSG00000104812	GYS1
ENSG00000047578	KIAA0556
ENSG00000171316	CHD7
ENSG00000166197	NOLC1
ENSG00000175866	BAIAP2
ENSG00000099904	ZDHHC8
ENSG00000127616	SMARCA4
ENSG00000146830	GIGYF1
ENSG00000167258	CDK12
ENSG00000154832	CXXC1
ENSG00000163166	IWS1
ENSG00000055044	NOP58
ENSG00000172995	ARPP21
ENSG00000114745	GORASP1
ENSG00000100697	DICER1
ENSG00000130826	DKC1
ENSG00000226321	CROCC2
ENSG00000167978	SRRM2
ENSG00000184708	EIF4ENIF1
ENSG00000074657	ZNF532
ENSG00000167658	EEF2
ENSG00000134954	ETS1
ENSG00000114423	CBLB
ENSG00000137962	ARHGAP29
ENSG00000057019	DCBLD2
ENSG00000134313	KIDINS220
ENSG00000113657	DPYSL3
ENSG00000151474	FRMD4A
ENSG00000112739	PRPF4B
ENSG00000160972	PPP1R16A
ENSG00000146555	SDK1
ENSG00000110237	ARHGEF17
ENSG00000110723	EXPH5
ENSG00000186575	NF2
ENSG00000130559	CAMSAP1
ENSG00000166592	RRAD
ENSG00000126461	SCAF1
ENSG00000204681	GABBR1
ENSG00000124942	AHNAK
ENSG00000120278	PLEKHG1
ENSG00000064787	BCAS1
ENSG00000163629	PTPN13
ENSG00000118526	TCF21
ENSG00000106089	STX1A
ENSG00000113319	RASGRF2
ENSG00000075539	FRYL
ENSG00000065978	YBX1
ENSG00000277363	SRCIN1
ENSG00000126561	STAT5A
ENSG00000104881	PPP1R13L
ENSG00000118960	HS1BP3
ENSG00000130749	ZC3H4
ENSG00000139613	SMARCC2
ENSG00000100968	NFATC4
ENSG00000104447	TRPS1
ENSG00000163539	CLASP2
ENSG00000155876	RRAGA
ENSG00000100281	HMGXB4
ENSG00000133392	MYH11
ENSG00000100813	ACIN1
ENSG00000108349	CASC3
ENSG00000179889	PDXDC1
ENSG00000154767	XPC
ENSG00000155506	LARP1
ENSG00000270765	GAS2L2
ENSG00000185862	EVI2B
ENSG00000163554	SPTA1
ENSG00000039560	RAI14
ENSG00000198824	CHAMP1
ENSG00000139697	SBNO1
ENSG00000167978	SRRM2
ENSG00000198824	CHAMP1
ENSG00000143514	TP53BP2
ENSG00000127947	PTPN12
ENSG00000100030	MAPK1
ENSG00000115504	EHBP1
ENSG00000135597	REPS1
ENSG00000130479	MAP1S
ENSG00000196576	PLXNB2
ENSG00000164938	TP53INP1
ENSG00000104093	DMXL2
ENSG00000117632	STMN1
ENSG00000167978	SRRM2
ENSG00000148396	SEC16A
ENSG00000137145	DENND4C
ENSG00000103061	SLC7A6OS
ENSG00000125651	GTF2F1
ENSG00000060749	QSER1
ENSG00000145362	ANK2
ENSG00000076108	BAZ2A
ENSG00000111676	ATN1
ENSG00000130589	HELZ2
ENSG00000035928	RFC1
ENSG00000081026	MAGI3
ENSG00000171992	SYNPO
ENSG00000054611	TBC1D22A
ENSG00000116991	SIPA1L2
ENSG00000138162	TACC2
ENSG00000143398	PIP5K1A
ENSG00000048405	ZNF800
ENSG00000131711	MAP1B
ENSG00000128487	SPECC1
ENSG00000145216	FIP1L1
ENSG00000197122	SRC
ENSG00000130479	MAP1S
ENSG00000154767	XPC
ENSG00000070808	CAMK2A
ENSG00000133961	NUMB
ENSG00000062650	WAPL
ENSG00000091483	FH
ENSG00000116641	DOCK7
ENSG00000133142	TCEAL4
ENSG00000144554	FANCD2
ENSG00000182149	IST1
ENSG00000156273	BACH1
ENSG00000198160	MIER1
ENSG00000143514	TP53BP2
ENSG00000099814	CEP170B
ENSG00000168303	MPLKIP
ENSG00000137168	PPIL1
ENSG00000166317	SYNPO2L
ENSG00000139977	NAA30
